cliente_id,probabilidad,nivel_riesgo,motivo_principal,top_3_motivos,Contract,InternetService,PaymentMethod,tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents
1820-TQVEV,0.972628837053969,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,69.55,69.55,0,No,No
8375-DKEBR,0.9709821597448499,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,69.6,69.6,1,No,No
1069-XAIEM,0.9704765119515935,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,85.05,85.05,1,No,No
9248-OJYKK,0.9687614677291998,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,76.45,76.45,1,No,No
9804-ICWBG,0.967573327728144,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,69.9,69.9,0,No,No
5542-TBBWB,0.967573327728144,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,69.9,69.9,0,No,No
2545-EBUPK,0.965861622493919,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Month-to-month,Fiber optic,Electronic check,2,84.05,186.05,1,No,No
0295-PPHDO,0.96243366401686,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,1,95.45,95.45,0,No,No
0841-NULXI,0.9594635659418702,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,DSL,Electronic check,1,35.55,35.55,0,No,No
8161-QYMTT,0.9577877822571037,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Antigüedad | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,7,94.1,701.3,0,No,No
4750-ZRXIU,0.9577590630139747,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,4,84.6,360.1,1,No,No
1143-NMNQJ,0.9550360562043952,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,2,85.7,169.8,0,No,No
3716-BDVDB,0.953930955918421,ALTO,Antigüedad,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Electronic check,1,69.1,69.1,0,No,No
6861-XWTWQ,0.9526559677437912,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Month-to-month,Fiber optic,Electronic check,7,99.25,665.45,1,Yes,No
2514-GINMM,0.9487959794405647,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Month-to-month,Fiber optic,Electronic check,1,79.5,79.5,0,No,No
9057-SIHCH,0.9483084088442861,ALTO,Antigüedad,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Month-to-month,Fiber optic,Electronic check,3,96.6,291.9,0,No,No
0655-RBDUG,0.9476857861663048,ALTO,Servicio de internet: fibra óptica,Servicio de internet: fibra óptica | Antigüedad | Tipo de contrato: mes a mes,Month-to-month,Fiber optic,Bank transfer (automatic),7,98.05,713.0,0,No,No
