gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,cliente_id,y_true,probabilidad,test_row_idx,nivel_riesgo,top_3_motivos,motivo_principal
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,1820-TQVEV,1,0.972628837053969,341,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,8375-DKEBR,1,0.9709821597448499,1289,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,1069-XAIEM,1,0.9704765119515935,1109,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,9248-OJYKK,1,0.9687614677291998,618,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,9804-ICWBG,1,0.967573327728144,1252,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,5542-TBBWB,0,0.967573327728144,629,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,2545-EBUPK,0,0.965861622493919,889,ALTO,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Antigüedad
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,0295-PPHDO,1,0.96243366401686,1221,ALTO,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Antigüedad
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,0841-NULXI,1,0.9594635659418702,1178,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,8161-QYMTT,0,0.9577877822571037,995,ALTO,Servicio de internet: fibra óptica | Antigüedad | Tipo de contrato: mes a mes,Servicio de internet: fibra óptica
